image_id,healthy,multiple_diseases,rust,scab
Test_0,0.007671726401895285,0.04210628569126129,0.95001620054245,0.00020572528592310846
Test_1,0.0004062257648911327,0.03291940316557884,0.9645249843597412,0.0021493728272616863
Test_2,0.00013995262270327657,3.9860977267380804e-05,0.00013679213589057326,0.9996833801269531
Test_3,0.9994348883628845,9.065845370059833e-05,0.00036407692823559046,0.00011027720756828785
Test_4,0.006091933697462082,0.06860622763633728,0.9249386191368103,0.00036320180515758693
Test_5,0.9783579111099243,0.005669184494763613,0.015214876271784306,0.0007579842931590974
Test_6,0.9988563060760498,0.00014646585623268038,0.0009225874673575163,7.461635686922818e-05
Test_7,1.3927053259976674e-05,5.022345794714056e-05,4.0274098864756525e-05,0.9998955726623535
Test_8,0.005773755256086588,0.10063612461090088,0.0009548717061989009,0.8926352858543396
Test_9,0.004408528562635183,0.2282722294330597,0.7654039263725281,0.0019154074834659696
Test_10,0.0017479662783443928,0.3398204743862152,0.6576194167137146,0.0008121920400299132
Test_11,0.9973987340927124,0.0005149454809725285,0.0005583351594395936,0.0015279676299542189
Test_12,0.004841685760766268,0.001244337996467948,0.0003327989252284169,0.9935811758041382
Test_13,0.9994840621948242,0.0001159380772151053,9.496455459157005e-05,0.0003049595688935369
Test_14,0.006115303374826908,0.032491862773895264,0.9612501263618469,0.00014262610056903213
Test_15,0.018758559599518776,0.03477106988430023,0.9462552666664124,0.00021511921659111977
Test_16,0.9967833757400513,0.0015792105114087462,0.0006500007584691048,0.0009874198585748672
Test_17,0.002242145361378789,0.10887878388166428,0.004493520595133305,0.8843855261802673
Test_18,0.009052847512066364,0.015649961307644844,0.00028283390565775335,0.975014328956604
Test_19,0.0006623881054110825,0.012667798437178135,0.9865988492965698,7.091932639013976e-05
Test_20,0.00019997317576780915,9.976117871701717e-05,0.00013791932724416256,0.9995623230934143
Test_21,0.9997467398643494,3.685129922814667e-05,0.00010807694343384355,0.0001083388488041237
Test_22,0.02458301931619644,0.0696280300617218,0.9056953191757202,9.35563220991753e-05
Test_23,8.691697439644486e-05,5.2496012358460575e-05,0.0006192646105773747,0.9992413520812988
Test_24,0.9956472516059875,0.002342144027352333,0.0004808492958545685,0.0015297859208658338
Test_25,0.001815218129195273,0.0011607317719608545,0.00022133471793495119,0.9968026876449585
Test_26,0.004462018609046936,0.029776891693472862,0.004564514383673668,0.9611966013908386
Test_27,0.021963678300380707,0.36882978677749634,0.6077972054481506,0.0014092987403273582
Test_28,0.9996932744979858,7.241100684041157e-05,0.00013292078801896423,0.00010143857798539102
Test_29,0.067521832883358,0.8284656405448914,0.08909550309181213,0.014916982501745224
Test_30,0.997424840927124,0.0009287658031098545,0.00022374569380190223,0.001422699773684144
Test_31,0.014573706313967705,0.8299604654312134,0.15061190724372864,0.004853982012718916
Test_32,0.003776334226131439,0.05185604840517044,0.0032993764616549015,0.9410682320594788
Test_33,0.00029940964304842055,0.00018176209414377809,5.8356585213914514e-05,0.9994605183601379
Test_34,7.441603520419449e-05,8.920850086724386e-05,1.6363943359465338e-05,0.9998200535774231
Test_35,0.00010325061157345772,0.0004451521090231836,0.0005286264349706471,0.9989228844642639
Test_36,0.0102007407695055,0.03865416720509529,0.9492371678352356,0.0019079832127317786
Test_37,0.010578100569546223,0.0013190344907343388,3.56433229171671e-05,0.9880672693252563
Test_38,0.00030846582376398146,0.0007207837770693004,5.069052713224664e-05,0.9989200830459595
Test_39,0.0014273897977545857,0.00016036443412303925,0.9984117746353149,4.5323673703023815e-07
Test_40,0.006290363613516092,0.032601237297058105,0.9610036015510559,0.00010482983634574339
Test_41,0.08223649114370346,0.3229995667934418,0.5916047692298889,0.0031591514125466347
Test_42,5.571551082539372e-05,2.3898448489489965e-05,4.0662551327841356e-05,0.9998797178268433
Test_43,0.022084616124629974,0.3661252558231354,0.6112580299377441,0.0005320901400409639
Test_44,0.22352959215641022,0.5638775825500488,0.014844284392893314,0.19774851202964783
Test_45,0.09906846284866333,0.18940526247024536,0.005274265073239803,0.7062520384788513
Test_46,0.16919246315956116,0.053445957601070404,0.0008303665090352297,0.7765312194824219
Test_47,0.03656306117773056,0.048860907554626465,0.9137159585952759,0.0008600105065852404
Test_48,0.005819690879434347,0.019665373489260674,0.9744610786437988,5.390093065216206e-05
Test_49,0.02004779875278473,0.0009404605370946229,0.9789614677429199,5.025448990636505e-05
